UserID,Gender,Age Group, Top 6 most preferred dishes,laksa,Chili Crab,Char Kway Teow,hainanese chicken rice,Sliced Fish Soup,Fish and Chips,Chinese Economy Rice,Japanese Bento,Curry laksa,Yu Sheng,Duck Rice,Fish Head Curry,Bak Kut Teh,Hokkien Mee,Kway Chap,Roti Prata,Black Pepper Crab,Roti John,Cereal Prawn,Beef Kway Teow,Katong laksa,Sambal Stingray,Crab Bee Hoon Soup,Satay,sum
1,Female,15 - 24,"Sliced Fish Soup, Japanese Bento,Curry laksa, Duck Rice, Hokkien Mee, Crab Bee Hoon Soup",0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,6
2,Male,15 - 24,"Hainanese Chicken Rice, Fish and Chips, Japanese Bento, Bak Kut Teh, Hokkien Mee, Cereal Prawn",0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,6
3,Male,15 - 24,"Char Kway Teow, Hainanese Chicken Rice, Fish and Chips, Japanese Bento, Roti Prata, Roti John",0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6
4,Female,15 - 24,"Laksa , Hainanese Chicken Rice, Japanese Bento,Curry laksa, Bak Kut Teh, Kway Chap",1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6
5,Female,15 - 24,"Fish and Chips, Japanese Bento, Duck Rice, Hokkien Mee, Black Pepper Crab, Cereal Prawn",0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,6
6,Male,15 - 24,"Hainanese Chicken Rice, Sliced Fish Soup, Duck Rice, Bak Kut Teh, Hokkien Mee, Kway Chap",0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,6
7,Male,15 - 24,"Chili Crab, Hokkien Mee, Kway Chap, katong laksa, Sambal Stingray, Crab Bee Hoon Soup",0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,6
8,Female,15 - 24,"Hainanese Chicken Rice, Fish and Chips, Japanese Bento,Curry laksa, Duck Rice, Hokkien Mee",0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6
9,Male,15 - 24,"Laksa , Chili Crab, Hainanese Chicken Rice, Fish and Chips, Hokkien Mee, Roti Prata",1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6
10,Male,15 - 24,"Char Kway Teow, Hainanese Chicken Rice, Fish and Chips, Chinese Economy Rice, Hokkien Mee, Roti Prata",0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6
11,Female,15 - 24,"Fish and Chips, Japanese Bento, Duck Rice, Bak Kut Teh, Hokkien Mee, Satay",0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,6
12,Female,15 - 24,"Sliced Fish Soup, Japanese Bento, Duck Rice, Fish Head Curry, Hokkien Mee, Roti Prata",0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,6
13,Male,15 - 24,"Chili Crab, Char Kway Teow, Hainanese Chicken Rice, Bak Kut Teh, Sambal Stingray, Satay",0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,6
14,Female,15 - 24,"Laksa , Hainanese Chicken Rice, Fish and Chips, Roti Prata, Black Pepper Crab, Satay",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,6
15,Male,15 - 24,"Laksa , Fish and Chips, Chinese Economy Rice, Japanese Bento, Roti Prata, Satay",1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6
16,Male,15 - 24,"Char Kway Teow, Hainanese Chicken Rice, Bak Kut Teh, Cereal Prawn, Sambal Stingray, Crab Bee Hoon Soup",0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,6
17,Female,15 - 24,"Laksa ,Curry laksa, Bak Kut Teh, Hokkien Mee, Roti Prata, Satay",1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,6
18,Female,14 and below,"Hainanese Chicken Rice, Fish and Chips, Japanese Bento, Hokkien Mee, Roti Prata, Beef Kway Teow",0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,6
19,Female,14 and below,"Laksa , Hainanese Chicken Rice, Fish and Chips, Japanese Bento, Hokkien Mee, Roti Prata",1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6
20,Male,15 - 24,"Hainanese Chicken Rice, Fish and Chips, Japanese Bento,Curry laksa, Roti Prata, Satay",0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6
21,Male,15 - 24,"Fish and Chips, Chinese Economy Rice, Japanese Bento, Hokkien Mee, Black Pepper Crab, Roti John",0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,6
22,Female,14 and below,"Hainanese Chicken Rice, Bak Kut Teh, Hokkien Mee, Kway Chap, Roti Prata, Satay",0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,6
23,Female,15 - 24,"Chili Crab, Hainanese Chicken Rice, Fish and Chips,Curry laksa, Fish Head Curry, Roti Prata",0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6
24,Female,25 - 54,"Laksa , Hainanese Chicken Rice, Sliced Fish Soup, Kway Chap, Roti Prata, Sambal Stingray",1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,6
25,Male,25 - 54,"Laksa , Chili Crab, Duck Rice, Bak Kut Teh, Kway Chap, Roti Prata",1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,6
26,Male,25 - 54,"Chili Crab, Char Kway Teow, Hainanese Chicken Rice, Bak Kut Teh, Hokkien Mee, Katong laksa ",0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,6
27,Female,25 - 54,"Chili Crab, Fish Head Curry, Black Pepper Crab, Cereal Prawn, Sambal Stingray, Crab Bee Hoon Soup",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,6
28,Female,14 and below,"Fish and Chips, Japanese Bento, Duck Rice, Bak Kut Teh, Roti Prata, Satay",0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,6
29,Male,14 and below,"Laksa , Fish and Chips,Curry laksa, Bak Kut Teh, Roti Prata, Katong laksa ",1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,6
30,Female,15 - 24,"Chili Crab, Hainanese Chicken Rice, Hokkien Mee, Roti Prata, Cereal Prawn, Sambal Stingray",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,6
31,Female,14 and below,"Hainanese Chicken Rice, Fish and Chips, Chinese Economy Rice, Japanese Bento, Hokkien Mee, Roti Prata",0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6
32,Male,14 and below,"Hainanese Chicken Rice, Chinese Economy Rice, Japanese Bento,Curry laksa, Bak Kut Teh, Roti Prata",0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6
